datetime,total_tweets,total_climate_tweets,high_engagement_climate_tweets,week,year,week_id
2022-10-23 00:00:00+00:00,20371,15,4.0,42,2022,2022_42
2022-10-30 00:00:00+00:00,20836,11,1.0,43,2022,2022_43
2022-11-06 00:00:00+00:00,21308,21,6.0,44,2022,2022_44
2022-11-13 00:00:00+00:00,21813,23,0.0,45,2022,2022_45
2022-11-20 00:00:00+00:00,22061,17,2.0,46,2022,2022_46
2022-11-27 00:00:00+00:00,20183,8,2.0,47,2022,2022_47
2022-12-04 00:00:00+00:00,20392,5,2.0,48,2022,2022_48
2022-12-11 00:00:00+00:00,20880,14,0.0,49,2022,2022_49
2022-12-18 00:00:00+00:00,19946,8,0.0,50,2022,2022_50
2022-12-25 00:00:00+00:00,18537,4,0.0,51,2022,2022_51
2023-01-01 00:00:00+00:00,15736,7,1.0,52,2022,2022_52
2023-01-08 00:00:00+00:00,17947,8,0.0,1,2023,2023_1
2023-01-15 00:00:00+00:00,20275,8,0.0,2,2023,2023_2
2023-01-22 00:00:00+00:00,19700,13,4.0,3,2023,2023_3
2023-01-29 00:00:00+00:00,19676,7,1.0,4,2023,2023_4
2023-02-05 00:00:00+00:00,19584,2,1.0,5,2023,2023_5
2023-02-12 00:00:00+00:00,19453,1,0.0,6,2023,2023_6
2023-02-19 00:00:00+00:00,19414,3,2.0,7,2023,2023_7
